"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"20060","Enrolment in pre-primary education, both sexes (number)","AUS","Australia","2015","2015",393403,,
"20060","Enrolment in pre-primary education, both sexes (number)","AUT","Austria","2015","2015",245251,,
"20060","Enrolment in pre-primary education, both sexes (number)","BEL","Belgium","2015","2015",461070,,
"20060","Enrolment in pre-primary education, both sexes (number)","CZE","Czechia","2015","2015",371690,,
"20060","Enrolment in pre-primary education, both sexes (number)","DNK","Denmark","2015","2015",187625,,
"20060","Enrolment in pre-primary education, both sexes (number)","FIN","Finland","2015","2015",196887,,
"20060","Enrolment in pre-primary education, both sexes (number)","FRA","France","2015","2015",2595862,,
"20060","Enrolment in pre-primary education, both sexes (number)","DEU","Germany","2015","2015",2230504,,
"20060","Enrolment in pre-primary education, both sexes (number)","GRC","Greece","2015","2015",163414,,
"20060","Enrolment in pre-primary education, both sexes (number)","HUN","Hungary","2015","2015",310912,,
"20060","Enrolment in pre-primary education, both sexes (number)","ISL","Iceland","2015","2015",13880,,
"20060","Enrolment in pre-primary education, both sexes (number)","IRL","Ireland","2015","2015",71098,,
"20060","Enrolment in pre-primary education, both sexes (number)","ITA","Italy","2015","2015",1637110,,
"20060","Enrolment in pre-primary education, both sexes (number)","JPN","Japan","2015","2015",2874837,,
"20060","Enrolment in pre-primary education, both sexes (number)","KOR","Republic of Korea","2015","2015",1278960,,
"20060","Enrolment in pre-primary education, both sexes (number)","LUX","Luxembourg","2015","2015",16751,,
"20060","Enrolment in pre-primary education, both sexes (number)","MEX","Mexico","2015","2015",4814886,,
"20060","Enrolment in pre-primary education, both sexes (number)","NLD","Netherlands","2015","2015",511579,,
"20060","Enrolment in pre-primary education, both sexes (number)","NZL","New Zealand","2015","2015",117606.96348,,
"20060","Enrolment in pre-primary education, both sexes (number)","NOR","Norway","2015","2015",186415,,
"20060","Enrolment in pre-primary education, both sexes (number)","PRT","Portugal","2015","2015",264660,,
"20060","Enrolment in pre-primary education, both sexes (number)","SVK","Slovakia","2015","2015",161906,,
"20060","Enrolment in pre-primary education, both sexes (number)","ESP","Spain","2015","2015",1398107,,
"20060","Enrolment in pre-primary education, both sexes (number)","SWE","Sweden","2015","2015",442926,,
"20060","Enrolment in pre-primary education, both sexes (number)","CHE","Switzerland","2015","2015",168860,,
"20060","Enrolment in pre-primary education, both sexes (number)","TUR","Turkey","2015","2015",1156661,,
"20060","Enrolment in pre-primary education, both sexes (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2015","2015",1667614,,
"20060","Enrolment in pre-primary education, both sexes (number)","USA","United States of America","2015","2015",8654969.35261,,
"20060","Enrolment in pre-primary education, both sexes (number)","ALB","Albania","2015","2015",82494,,
"20060","Enrolment in pre-primary education, both sexes (number)","AND","Andorra","2015","2015",2427,,
"20060","Enrolment in pre-primary education, both sexes (number)","ARG","Argentina","2015","2015",1638369,,
"20060","Enrolment in pre-primary education, both sexes (number)","ARM","Armenia","2015","2015",64959,,
"20060","Enrolment in pre-primary education, both sexes (number)","AZE","Azerbaijan","2015","2015",116352,,
"20060","Enrolment in pre-primary education, both sexes (number)","BHS","Bahamas","2015","2015",3397,,
"20060","Enrolment in pre-primary education, both sexes (number)","BHR","Bahrain","2015","2015",33186,,
"20060","Enrolment in pre-primary education, both sexes (number)","BGD","Bangladesh","2015","2015",2864877,,
"20060","Enrolment in pre-primary education, both sexes (number)","BRB","Barbados","2015","2015",6015,,
"20060","Enrolment in pre-primary education, both sexes (number)","BLR","Belarus","2015","2015",330616,,
"20060","Enrolment in pre-primary education, both sexes (number)","BLZ","Belize","2015","2015",7505,,
"20060","Enrolment in pre-primary education, both sexes (number)","BEN","Benin","2015","2015",151732,,
"20060","Enrolment in pre-primary education, both sexes (number)","BMU","Bermuda","2015","2015",440,,
"20060","Enrolment in pre-primary education, both sexes (number)","BTN","Bhutan","2015","2015",5894,,
"20060","Enrolment in pre-primary education, both sexes (number)","BOL","Bolivia (Plurinational State of)","2015","2015",331285,,
"20060","Enrolment in pre-primary education, both sexes (number)","BIH","Bosnia and Herzegovina","2015","2015",17529,,
"20060","Enrolment in pre-primary education, both sexes (number)","BWA","Botswana","2015","2015",33425,,
"20060","Enrolment in pre-primary education, both sexes (number)","BRA","Brazil","2015","2015",4923158,,
"20060","Enrolment in pre-primary education, both sexes (number)","VGB","British Virgin Islands","2015","2015",858,,
"20060","Enrolment in pre-primary education, both sexes (number)","BRN","Brunei Darussalam","2015","2015",13301,,
"20060","Enrolment in pre-primary education, both sexes (number)","BGR","Bulgaria","2015","2015",241123,,
"20060","Enrolment in pre-primary education, both sexes (number)","BFA","Burkina Faso","2015","2015",73081,,
"20060","Enrolment in pre-primary education, both sexes (number)","BDI","Burundi","2015","2015",86185,,
"20060","Enrolment in pre-primary education, both sexes (number)","KHM","Cambodia","2015","2015",187450,,
"20060","Enrolment in pre-primary education, both sexes (number)","CMR","Cameroon","2015","2015",522429,,
"20060","Enrolment in pre-primary education, both sexes (number)","CPV","Cabo Verde","2015","2015",23316,,
"20060","Enrolment in pre-primary education, both sexes (number)","TCD","Chad","2015","2015",11384,,
